DocumentDate,SalePrice,PropertyID,PropertyType,ym,zhvi_px,zhvi_idx,AdjSalePrice,NbrLivingUnits,SqFtLot,SqFtTotLiving,SqFtFinBasement,Bathrooms,Bedrooms,BldgGrade,YrBuilt,YrRenovated,TrafficNoise,LandVal,ImpsVal,ZipCode,NewConstruction
2014-09-16,280000,1000102,Multiplex,2014-09-01,405100,0.930836397058823,300805.0,2,9373,2400,0,3.0,6,7,1991,0,0,70000,229000,98002,False
2006-06-16,1000000,1200013,Single Family,2006-06-01,404400,0.929227941176471,1076162.0,1,20156,3764,1452,3.75,4,10,2005,0,0,203000,590000,98166,True
2007-01-29,745000,1200019,Single Family,2007-01-01,425600,0.977941176470588,761805.0,1,26036,2060,900,1.75,4,8,1947,0,0,183000,275000,98166,False
2008-02-25,425000,2800016,Single Family,2008-02-01,418400,0.961397058823529,442065.0,1,8618,3200,1640,3.75,5,7,1966,0,0,104000,229000,98168,False
2013-03-29,240000,2800024,Single Family,2013-03-01,351600,0.807904411764706,297065.0,1,8620,1720,0,1.75,4,7,1948,0,0,104000,205000,98168,False
2009-03-30,349900,3600090,Townhouse,2009-03-01,369800,0.849724264705882,411781.0,1,1012,930,0,1.5,2,8,2008,0,0,170000,207000,98144,True
2013-08-28,327500,3800004,Single Family,2013-08-01,374300,0.860064338235294,380785.0,1,34465,1750,0,1.5,3,8,1961,0,0,165000,227000,98178,False
2007-05-24,347000,3800009,Single Family,2007-05-01,432100,0.992876838235294,349489.0,1,14659,1860,620,1.75,4,7,1963,0,0,115000,154000,98178,False
2006-09-22,220400,6600055,Single Family,2006-09-01,414800,0.953125,231239.0,1,5324,990,0,1.0,2,6,1930,0,3,90000,75000,98032,False
2006-08-22,437500,7200080,Multiplex,2006-08-01,411100,0.944623161764706,463148.0,2,10585,1980,0,2.0,4,6,1924,0,0,124000,116000,98055,False
2014-10-16,150000,7200179,Single Family,2014-10-01,407400,0.936121323529412,160236.0,1,12750,840,0,1.0,2,6,1925,0,0,133000,73000,98055,False
2010-01-14,300000,7400054,Single Family,2010-01-01,350800,0.806066176470588,372178.0,1,5200,1750,600,1.0,3,7,1958,0,1,100000,172000,98118,False
2008-06-26,292000,7400062,Single Family,2008-06-01,403200,0.926470588235294,315175.0,1,5240,790,0,1.0,2,6,1925,0,1,100000,152000,98118,False
2014-05-21,299800,7400062,Single Family,2014-05-01,398100,0.914751838235294,327739.0,1,5240,790,0,1.0,2,6,1925,0,1,100000,152000,98118,False
2006-09-25,605000,7600093,Single Family,2006-09-01,414800,0.953125,634754.0,1,7320,2120,0,2.75,3,8,1901,0,0,261000,422000,98122,False
2007-02-24,425000,7600203,Single Family,2007-02-01,427800,0.982996323529412,432352.0,1,3485,2620,1060,1.5,4,7,1920,0,0,235000,373000,98122,False
2006-03-14,455000,9000210,Single Family,2006-03-01,392100,0.900965073529412,505014.0,1,5253,1500,750,1.75,3,6,1919,0,0,333000,117000,98115,False
2007-11-09,495000,10000060,Single Family,2007-11-01,428400,0.984375,502857.0,1,4600,2070,1000,2.25,3,7,1909,0,0,212000,366000,98116,False
2013-06-05,279500,11000040,Single Family,2013-06-01,366100,0.841222426470588,332255.0,1,27229,3020,1510,3.0,3,6,2000,0,0,142000,189000,98001,False
2008-03-20,400000,11000041,Single Family,2008-03-01,415100,0.953814338235294,419369.0,1,24034,2370,1080,2.0,4,8,1960,0,0,139000,200000,98001,False
2007-11-21,530500,11200070,Single Family,2007-11-01,428400,0.984375,538921.0,1,3296,1530,0,2.5,3,8,1998,0,0,269000,209000,98007,False
2006-08-28,490000,11200370,Single Family,2006-08-01,411100,0.944623161764706,518725.0,1,3696,1530,0,2.5,3,8,1998,0,0,269000,216000,98007,False
2012-09-12,608000,11500050,Single Family,2012-09-01,329600,0.757352941176471,802796.0,1,13349,2780,0,2.5,3,10,1990,0,1,255000,480000,98052,False
2008-09-02,630000,11500270,Single Family,2008-09-01,394900,0.907398897058823,694292.0,1,8186,2420,0,2.5,3,10,1992,0,0,269000,432000,98052,False
2008-04-21,635000,11500510,Single Family,2008-04-01,411700,0.946001838235294,671246.0,1,9093,2280,0,2.5,4,10,1990,0,1,255000,416000,98052,False
2009-08-25,520000,11500510,Single Family,2009-08-01,352600,0.810202205882353,641815.0,1,9093,2280,0,2.5,4,10,1990,0,1,255000,416000,98052,False
2012-12-17,730000,11500890,Single Family,2012-12-01,339400,0.779871323529412,936052.0,1,8750,3130,0,2.5,3,10,1991,0,0,269000,514000,98052,False
2010-07-01,605000,11501310,Single Family,2010-07-01,342800,0.787683823529412,768075.0,1,9055,3060,600,3.25,3,10,1994,0,0,281000,511000,98052,False
2006-04-03,778000,11501330,Single Family,2006-04-01,396500,0.911075367647059,853936.0,1,10223,3190,630,3.5,3,10,1994,0,0,269000,529000,98052,False
2011-01-07,635000,11510310,Single Family,2011-01-01,328100,0.75390625,842280.0,1,13412,3130,990,2.75,4,9,1993,0,0,281000,433000,98052,False
2006-02-23,569950,11510360,Single Family,2006-02-01,387600,0.890625,639944.0,1,9021,2660,0,2.5,3,9,1992,0,0,269000,394000,98052,False
2011-12-02,527000,11510400,Single Family,2011-12-01,311900,0.716681985294118,735333.0,1,9948,2230,0,2.75,3,9,1993,0,0,269000,347000,98052,False
2008-01-07,585000,11520030,Single Family,2008-01-01,421900,0.969439338235294,603442.0,1,9594,2341,0,2.5,4,9,1997,0,0,269000,347000,98052,False
